BusinessName,RatingValue,RatingDate,Hygiene,Structural,ConfidenceInManagement,longitude,latitude
St Marys COE (aided) Primary School,5.0,2016-09-13T00:00:00,0,0,0,1.194762,51.085797
The Ship,5.0,2015-08-27T00:00:00,5,5,5,1.188537,51.08084
The Pavilion,5.0,2018-04-04T00:00:00,5,5,5,1.195625,51.083812
Docker,5.0,2018-04-18T00:00:00,0,0,5,1.18590330311705,51.0783519967076
Pick Up Pintxos,5.0,2018-04-18T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Wear Bay Bowls Club,4.0,2014-03-31T00:00:00,5,5,10,1.196408,51.086058
Folkestone Trawlers Shop,5.0,2020-02-14T00:00:00,0,5,5,1.188537,51.08084
That Burger - Harbour Arm,5.0,2018-08-17T00:00:00,5,5,5,1.18590330311705,51.0783519967076
The Club Hut,5.0,2018-08-04T00:00:00,0,5,5,1.18590330311705,51.0783519967076
The Tea Caddy,5.0,2018-08-03T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Custom Folkestone,5.0,2018-11-30T00:00:00,0,5,5,1.18590330311705,51.0783519967076
The Pilot,5.0,2021-06-14T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Barney & The Pizza,3.0,2021-06-06T00:00:00,10,10,5,1.18590330311705,51.0783519967076
Waiting Room - Harbour Arm,5.0,2019-07-12T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Mariner,5.0,2019-03-19T00:00:00,0,5,0,1.188537,51.08084
Dino's,4.0,2021-06-06T00:00:00,10,5,5,1.18590330311705,51.0783519967076
Lobster & Burger,5.0,2022-04-05T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Hog & Hop - Harbour Arm,5.0,2019-07-12T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Little Rock,5.0,2022-04-14T00:00:00,,,,1.18590330311705,51.0783519967076
The Dessert Junction,5.0,2022-04-20T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Fish Shack,5.0,2022-04-20T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Greek Street,5.0,2022-04-28T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Coffee Folkes,5.0,2022-04-28T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Harbour Hotdogs/Meatshack,5.0,2022-04-28T00:00:00,0,0,5,1.18590330311705,51.0783519967076
A Hui Hou,2.0,2021-08-13T00:00:00,15,15,10,1.18590330311705,51.0783519967076
Babaji,4.0,2021-08-13T00:00:00,,,,1.18590330311705,51.0783519967076
Bath Tub and Gun - Harbour Arm,5.0,2019-07-26T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Shesells Seashells,5.0,2021-09-26T00:00:00,0,5,0,1.18590330311705,51.0783519967076
Harbour Coffee Company,5.0,2021-10-03T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Dr Legumes - Harbour Arm,4.0,2018-06-08T00:00:00,0,10,10,1.18590330311705,51.0783519967076
The Ships Galley,4.0,2019-07-03T00:00:00,0,0,10,1.188537,51.08084
Burrito Buoy,5.0,2021-10-03T00:00:00,0,0,0,1.18590330311705,51.0783519967076
Lucky Radish,4.0,2019-07-26T00:00:00,5,10,5,1.18590330311705,51.0783519967076
Platform Three,3.0,2018-08-03T00:00:00,5,10,10,1.18590330311705,51.0783519967076
The Taco Shed,2.0,2021-06-06T00:00:00,10,15,10,1.18590330311705,51.0783519967076
Go Dutch,5.0,2022-05-26T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Lighthouse Champagne and Music Bar,5.0,2022-06-17T00:00:00,5,5,5,1.18590330311705,51.0783519967076
II Pakkero,5.0,2022-05-26T00:00:00,0,0,5,1.18590330311705,51.0783519967076
A Taste of Thailand,3.0,2022-08-03T00:00:00,10,10,10,1.18590330311705,51.0783519967076
Sole Kitchen - Harbour Arm,4.0,2021-10-03T00:00:00,0,10,10,1.18590330311705,51.0783519967076
The Lighthouse Tasting Rooms,5.0,2022-08-03T00:00:00,0,5,0,1.18590330311705,51.0783519967076
Folkestone Seasports,,1901-01-01T00:00:00,,,,1.18794649942731,51.0805695006979
The Big Greek Bus,5.0,2019-05-09T00:00:00,5,5,5,1.18590330311705,51.0783519967076
Putters!,,1901-01-01T00:00:00,,,,1.18590330311705,51.0783519967076
The Captains Table,5.0,2019-12-19T00:00:00,0,5,5,1.187083,51.080673
Grand Burstin Hotel,2.0,2022-03-23T00:00:00,10,15,10,1.18516,51.078449
Little Switzerland Cafe,5.0,2019-04-24T00:00:00,5,5,5,1.202055,51.095015
Sandys,5.0,2021-10-10T00:00:00,5,0,0,1.186825,51.080446
Pent Stream Cafe - The Hatch,5.0,2019-04-30T00:00:00,5,5,5,1.18628335007084,51.079985650005
Martello Grove Academy,5.0,2018-12-11T00:00:00,0,5,0,1.194306,51.087887
Herberts,5.0,2017-05-11T00:00:00,0,0,0,1.186485,51.080284
Royal George,5.0,2019-03-19T00:00:00,0,0,0,1.186067,51.080224
Rocksalt,5.0,2019-02-19T00:00:00,0,0,0,1.186485,51.080284
Gillespies,5.0,2013-07-24T00:00:00,0,5,0,1.185368,51.079613
Harbour Inn,5.0,2022-05-20T00:00:00,,,,1.185368,51.079613
Gran Canaria Hotel,3.0,2018-08-16T00:00:00,10,5,10,1.183585,51.077971
Eastcliff Tavern,5.0,2013-08-20T00:00:00,0,5,0,1.188902,51.083232
Folkestone Yacht & Motor Boat Club,5.0,2014-12-11T00:00:00,0,0,0,1.186309,51.080838
The Lifeboat,5.0,2020-07-22T00:00:00,,,,1.186715,51.081546
St Peters Church Of England Primary School,5.0,2019-09-09T00:00:00,5,0,0,1.187056,51.081735
Harbour Fish Bar,2.0,2021-10-10T00:00:00,10,15,10,1.184194,51.07915
Sunshine Grill,3.0,2022-07-22T00:00:00,5,10,10,1.184194,51.07915
Pick Up Pintxos,5.0,2020-10-09T00:00:00,0,0,0,1.184916,51.0803
Sai Stores,5.0,2016-03-07T00:00:00,0,0,5,1.190896,51.086262
Londis,5.0,2014-10-23T00:00:00,5,5,5,1.18601894378662,51.0818061828613
Caretech - Martello Centre,5.0,2019-02-28T00:00:00,0,5,0,1.1920251,51.0877821
Bella Vita,5.0,2018-10-25T00:00:00,0,5,5,1.18421399593353,51.0804824829102
Wholefood Pop-up,5.0,2017-09-14T00:00:00,0,0,0,1.18421399593353,51.0804824829102
The Guildhall,4.0,2019-11-14T00:00:00,0,10,5,1.182962,51.079301
Tips Wok Box,4.0,2020-03-12T00:00:00,10,0,10,1.18431901931763,51.0809478759766
Jolsons,4.0,2014-09-05T00:00:00,5,10,5,1.18429,51.080956
East Cliff Pitch And Putt Course,,1901-01-01T00:00:00,,,,1.19522100055125,51.0917365039471
Valiant Sailor,4.0,2019-07-03T00:00:00,5,10,5,1.201433,51.097794
Klm Newsagents,3.0,2018-11-28T00:00:00,10,10,10,1.18429,51.080956
The Old Buoy,5.0,2020-02-06T00:00:00,0,5,5,1.18429,51.080956
Diamond Cafe,5.0,2019-08-29T00:00:00,5,0,0,1.18429,51.080956
Folklore,5.0,2021-10-15T00:00:00,0,0,0,1.18425798416138,51.0804748535156
Touchbase Care,5.0,2021-09-17T00:00:00,0,5,0,1.183893,51.080804
The Nook,4.0,2021-09-30T00:00:00,0,10,10,1.183894,51.080805
The British Lion,5.0,2017-08-16T00:00:00,0,5,5,1.182962,51.0793
Carlys,5.0,2018-09-06T00:00:00,0,0,0,1.182875,51.079905
Jam Jar,5.0,2018-08-23T00:00:00,0,0,0,1.1835476,51.0810258
Steep Street Coffee House,5.0,2018-01-16T00:00:00,0,0,0,1.182805,51.080339
El Cortador,5.0,2016-10-06T00:00:00,5,5,5,1.182805,51.08034
The Cake Junction,5.0,2018-11-09T00:00:00,0,0,0,1.182805,51.080339
Kipps Alehouse,5.0,2019-06-14T00:00:00,5,5,5,1.182805,51.08034
Misused Cocktails,5.0,2021-11-03T00:00:00,0,0,0,1.1823865,51.0802956
Hillside Restaurant,4.0,2020-03-12T00:00:00,0,10,10,1.181832,51.079889
The Space Bar & Gallery,3.0,2022-06-24T00:00:00,10,10,5,1.1822069,51.0803409
Lucky Chip,5.0,2021-08-13T00:00:00,,,,1.1813759803772,51.079532623291
