BusinessName,RatingValue,RatingDate,Hygiene,Structural,ConfidenceInManagement,longitude,latitude
Charlie's,4.0,2021-10-18T00:00:00,5.0,10.0,5.0,0.508551,51.369321
Mv City Cruises Erasmus,5.0,2021-05-14T00:00:00,0.0,5.0,0.0,0.249255999922752,51.1236228942871
Benfleet Motor Yacht Club,4.0,2018-11-02T00:00:00,0.0,0.0,10.0,0.561954,51.543831
Gourmet Kitchen,3.0,2022-05-05T00:00:00,5.0,10.0,10.0,0.4596371,51.5100659
Coombs Catering t/a The Lock and Key,5.0,2020-12-04T00:00:00,0.0,5.0,0.0,0.346336990594864,51.4640655517578
Tilbury Seafarers Centre,5.0,2018-11-02T00:00:00,0.0,0.0,0.0,0.346325,51.464078
Mv Valulla,5.0,2016-08-23T00:00:00,0.0,0.0,0.0,0.287555,51.504071
Froottree,,1901-01-01T00:00:00,,,,0.0693250000476837,51.5011100769043
Tereza Joanne,5.0,2021-07-09T00:00:00,0.0,5.0,5.0,0.069286,51.501121
Brick Lane Brews,4.0,2019-01-18T00:00:00,10.0,5.0,5.0,0.048006,51.503733
Pret A Manger,2.0,2021-12-06T00:00:00,5.0,15.0,5.0,0.048006,51.503733
The Nuance Group (UK) Limited,5.0,2017-07-17T00:00:00,0.0,0.0,0.0,0.047966,51.504112
Cabin Bar,2.0,2022-06-30T00:00:00,10.0,15.0,10.0,0.047966,51.504112
WH Smith,5.0,2017-07-17T00:00:00,0.0,0.0,0.0,0.0479655750095844,51.5041122436523
City Bar & Grill,5.0,2021-12-06T00:00:00,0.0,5.0,0.0,0.0479655750095844,51.5041122436523
Jet Centre,5.0,2022-02-11T00:00:00,0.0,0.0,0.0,0.0405181497335434,51.5048065185547
Caffè Nero,5.0,2021-11-12T00:00:00,5.0,5.0,0.0,0.040518,51.504808
Mv Sunborn Yacht Hotel,5.0,2021-11-19T00:00:00,5.0,5.0,5.0,0.027107,51.50817
Good Hotel London,5.0,2021-07-16T00:00:00,5.0,5.0,5.0,0.01792,51.507681
La Nonna lina,4.0,2021-10-01T00:00:00,0.0,10.0,5.0,0.0157549995929003,51.5059814453125
Wake Up Docklands Limited,5.0,2018-11-05T00:00:00,0.0,0.0,0.0,0.015742,51.505992
MV Venus Clipper,5.0,2022-02-25T00:00:00,0.0,0.0,0.0,0.00890800673629534,51.507771887145
MV Typhoon clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Moon clipper,5.0,2018-09-25T00:00:00,0.0,0.0,0.0,0.0078159999102354,51.5082588195801
MV Jupiter clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Monsoon clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Tornado clipper,5.0,2018-05-02T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Meteor clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Mercury clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.0078159999102354,51.5082588195801
MV Cyclone clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Hurricane clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Neptune clipper,5.0,2018-05-02T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Galaxy clipper,5.0,2018-05-02T00:00:00,0.0,0.0,0.0,0.007816,51.508259
MV Sun clipper,5.0,2018-12-14T00:00:00,0.0,0.0,0.0,0.0078159999102354,51.5082588195801
MV Aurora clipper,5.0,2021-12-03T00:00:00,0.0,0.0,0.0,0.007816,51.508259
Mv Storm Clipper,5.0,2019-01-11T00:00:00,0.0,0.0,0.0,0.007816,51.508259
Canary Wharf 1V,5.0,2022-02-25T00:00:00,0.0,0.0,0.0,0.007815,51.508259
